"순서","시설ID","컨텐츠 명","사용유무","테마 타입","x 좌표","y 좌표","좌표 배열","좌표타입","메인 이미지","새 주소","구 주소","우편번호","국가 지점 번호","테마 명","거리","업데이트 일","등록일","이미지 URL1","이미지 URL2","이미지 URL3","이미지 URL4","이미지 URL5","동영상 URL","음성파일 URL","평가 점수","평가자 인원","상세정보 이름 1","상세정보 값 1","상세정보 이름 2","상세정보 값 2","상세정보 이름 3","상세정보 값 3","상세정보 이름 4","상세정보 값 4","상세정보 이름 5","상세정보 값 5","상세정보 이름 6","상세정보 값 6","상세정보 이름 7","상세정보 값 7","상세정보 이름 8","상세정보 값 8","상세정보 이름 9","상세정보 값 9","상세정보 이름 10","상세정보 값 10"
"1","공덕전철역 2번출구"," 자전거 일반거치대","사용","일반","126.950519888","37.544413236","[]","Point","","서울특별시 마포구 마포대로 109","서울특별시 마포구 공덕동 467","04146","","(친환경)자전거 편의시설","3120.858685","2022-01-18 10:36:34","2022-01-18 10:36:34","","","","","","","","","","운영시간 ","24시간","설치지역","지하철역|","상세위치","공덕전철역 2번출구","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수","20대(비지붕형)","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","마포구청 교통행정과","마포구청 교통행정과"
"2","강남구_거치대_003","IBK기업은행 도곡팰리스 옆","사용","일반","127.050743460","37.487110802","[127.05074346028596,37.48711080157728]","Point","","서울특별시 강남구 언주로 122","서울특별시 강남구 도곡동 466","06295","다사60284319","(친환경)자전거 편의시설","10825.158796","2024-04-26 10:04:08","2024-04-26 10:04:08","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","기타|상업지구|상업지구|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강남구청 교통행정과","강남구청 교통행정과"
"3","11103419_1742732593843","갈말근린공원","사용","일반","127.053270000","37.665810000","[127.05327,37.66581]","Point","https://map.seoul.go.kr/smgis/ucimgs/conts/11103419/11103419_abc111_20251008170004_1.png","서울특별시 노원구 동일로227길 75","서울특별시 노원구 상계동 656-1","01619","다사60606301","(친환경)자전거 편의시설","12848.652157","2025-10-08 17:00:04","2025-03-23 21:23:47","https://map.seoul.go.kr/smgis/ucimgs/conts/11103419/11103419_abc111_20251008170004_1.png","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","상시","설치지역","기타|공원|공원|공원|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","전기식","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","노원구청 탄소중립도시과","노원구청 탄소중립도시과"
"4","강남구_거치대_004","강남구도시관리공단앞","사용","일반","127.051807338","37.516347048","[127.05180733843014,37.516347047795094]","Point","","서울특별시 강남구 삼성로 634","서울특별시 강남구 삼성동 66","06084","다사60394643","(친환경)자전거 편의시설","9072.725551","2024-04-26 10:06:08","2024-04-26 10:06:08","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","관공서|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강남구청 교통행정과","강남구청 교통행정과"
"5","강남구_거치대_005","강남구립개포꿈하늘도서관","사용","일반","127.080634614","37.490792895","[127.08063461397037,37.49079289480145]","Point","","서울특별시 강남구 개포로110길 54","서울특별시 강남구 일원동 741-4","06344","다사62924358","(친환경)자전거 편의시설","12885.832014","2024-04-26 10:08:07","2024-04-26 10:08:07","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","학교|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강남구청 교통행정과","강남구청 교통행정과"
"6","강남구_거치대_054","강남구민체육관","사용","일반","127.051891991","37.476979346","[127.05189199098191,37.47697934553638]","Point","","서울특별시 강남구 개포로28길 47","서울특별시 강남구 개포동 1271","06311","다사60374206","(친환경)자전거 편의시설","11643.924741","2024-04-26 13:57:02","2024-04-26 13:57:02","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","기타|체육관|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강남구청 교통행정과","강남구청 교통행정과"
"7","강남구_거치대_055","강남구민체육관 계단","사용","일반","127.051700568","37.476956085","[127.05170056806472,37.4769560853309]","Point","","서울특별시 강남구 개포로28길 47","서울특별시 강남구 개포동 1271","06311","다사60364206","(친환경)자전거 편의시설","11632.985995","2024-04-26 14:00:29","2024-04-26 14:00:29","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","기타|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강남구청 교통행정과","강남구청 교통행정과"
"8","강남구_거치대_006","강남구민회관","사용","일반","127.063821988","37.493735241","[127.0638219877291,37.49373524077862]","Point","","서울특별시 강남구 삼성로 154","서울특별시 강남구 대치동 509-2","06288","다사61444392","(친환경)자전거 편의시설","11358.634722","2024-04-26 10:10:53","2024-04-26 10:10:53","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","관공서|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강남구청 교통행정과","강남구청 교통행정과"
"9","강남구_거치대_007","강남구청역 1번출구","사용","일반","127.041895323","37.517161365","[127.04189532284869,37.517161364839595]","Point","","서울특별시 강남구 학동로 402","서울특별시 강남구 삼성동 111-44","06088","다사59514652","(친환경)자전거 편의시설","8199.887335","2024-04-26 10:12:12","2024-04-26 10:12:12","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강남구청 교통행정과","강남구청 교통행정과"
"10","강남구_거치대_009","강남구청역 2번출구","사용","일반","127.040889898","37.516884237","[127.04088989816736,37.516884237249144]","Point","","서울특별시 강남구 학동로 342","서울특별시 강남구 논현동 241-5","06099","다사59424649","(친환경)자전거 편의시설","8133.767192","2024-04-26 10:16:15","2024-04-26 10:16:15","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강남구청 교통행정과","강남구청 교통행정과"
